MF588692.1	HPV-mw27c157cnr.fa
U31783.1	HPV28REF.fa
FJ947080.1	HPV115REF.fa
MF588677.1	HPV-mHIVGc36nr.fa
MF588715.1	HPV-mw20c03anr.fa
AJ400628.2	HPV87REF.fa
GQ244463.1	HPV114REF.fa
JX429973.1	HPV156REF.fa
JN211193.1	HPV154REF.fa
HM011570.1	HPV127REF.fa
AY382778.1	HPV93REF.fa
Y15173.1	HPV75REF.fa
FM955842.1	HPV113REF.fa
KP692118.1	HPV-mSE383nr.fa
DQ080081.1	HPV101REF.fa
MF588713.1	HPV-mHIVGc70nr.fa
MF588717.1	HPV-mw07c68bnr.fa
FM955840.1	HPV104REF.fa
M12737.1	HPV8REF.fa
MF588723.1	HPV-mEV07c382nr.fa
X74469.1	HPV17REF.fa
MF588721.1	HPV-mEV03c45nr.fa
MF588676.1	HPV-mEV06c12bnr.fa
KJ506870.1	HPV-mSE355nr.fa
JF966371.1	HPV-mKN1nr.fa
JF966372.1	HPV-mKN2nr.fa
JX413106.1	HPV164REF.fa
KX781280.1	HPV-mDysk1nr.fa
MF588716.1	HPV-mEV07c367nr.fa
AJ620205.1	HPV43REF.fa
MF588710.1	HPV-mw11C39nr.fa
MF588736.1	HPV-mEV06c118nr.fa
HM999987.1	HPV135REF.fa
AJ620209.1	HPV81REF.fa
KC108721.1	HPV175REF.fa
MF588678.1	HPV-mm292c10nr.fa
FM955841.1	HPV105REF.fa
JX413109.1	HPV161REF.fa
MF588698.1	HPV-mEV03c05nr.fa
X74480.1	HPV49REF.fa
MF588695.1	HPV-mw20c04nr.fa
KY780961.1	HPV-mMTS2nr.fa
MF588690.1	HPV-mw23c08cnr.fa
KF006400.1	HPV173REF.fa
X55964.1	HPV2REF.fa
X74479.1	HPV45REF.fa
